p14_s	0evYzrFJoxTPZ_p14_s	Pseudomonas	3723	G	112079	536182	648261	0.58120
t114_d14	hvUQzLOqacdf2_t114_d14	Pseudomonas	3723	G	176122	998699	1174821	0.85146
t137_d225	mpzVXAp6gY0eD_t137_d225	Pseudomonas	3723	G	213	102	315	0.00030
p9_d364	eoboqjKYF3A6D_p9_d364	Pseudomonas	3723	G	150	19	169	0.00012
p22_d364	efPp9rKZOaPaU_p22_d364	Pseudomonas	3723	G	131194	578309	709503	0.56558
p75_d1	iSZF40tZOG58o_p75_d1	Pseudomonas	3723	G	159126	787988	947114	0.66063
p6_d308	BrnuvFTv7uydO_p6_d308	Pseudomonas	3723	G	151541	494022	645563	0.52166
p69_d308	25tGazDXvcdIc_p69_d308	Pseudomonas	3723	G	215429	367408	582837	0.94857
t89_d196	roxDVXN16jOMI_t89_d196	Pseudomonas	3723	G	65915	329512	395427	0.53060
t76_d225	JQxVn107pGHHi_t76_d225	Pseudomonas	3723	G	57	9	66	0.00002
t61_srt	sVcOaWSKu8mgO_t61_srt	Pseudomonas	3723	G	42	3	45	0.00003
p76_d14	OJAzv18VVKk7q_p76_d14	Pseudomonas	3723	G	5347	12370	17717	0.02405
t140_d364	au1HRXx79pNqW_t140_d364	Pseudomonas	3723	G	130029	692992	823021	0.86970
p14_d364	gFpQHMUKH0sFX_p14_d364	Pseudomonas	3723	G	377756	1614735	1992491	0.84920
p63_d1	nWG879sOU1699_p63_d1	Pseudomonas	3723	G	58589	234778	293367	0.22969
t24_d225	6h0S5gjtNuqPZ_t24_d225	Pseudomonas	3723	G	79136	402671	481807	0.47451
p17_d337	HKyZPzG5xLvyR_p17_d337	Pseudomonas	3723	G	82364	416340	498704	0.45695
t45_d14	tNMNXAD9wK8S7_t45_d14	Pseudomonas	3723	G	8	10	18	0.00143
t7_d1	Sfslc8ZUQlkDy_t7_d1	Pseudomonas	3723	G	154434	781611	936045	0.68793
t41_d364	EwmqRU6brDL9e_t41_d364	Pseudomonas	3723	G	39945	195946	235891	0.27426
t128_d196	XXC3pauGeGo5Y_t128_d196	Pseudomonas	3723	G	208236	1100712	1308948	0.88804
p79_srt	en4u0TakzFXYi_p79_srt	Pseudomonas	3723	G	15883	56141	72024	0.04881
t110_s	vwFPGKp2wmK5f_t110_s	Pseudomonas	3723	G	5923	11141	17064	0.01583
t49_d113	JjRuCCTNPAFG3_t49_d113	Pseudomonas	3723	G	114345	593925	708270	0.86417
t132_d337	qeS300o5pqMRo_t132_d337	Pseudomonas	3723	G	112557	535790	648347	0.57706
t54_s	pKuP3mUZ6rCsj_t54_s	Pseudomonas	3723	G	48152	85681	133833	0.08266
t21_d14	d4or3HERmqSMm_t21_d14	Pseudomonas	3723	G	5066	12692	17758	0.01427
p40_d84	iAu2FCxQfVOve_p40_d84	Pseudomonas	3723	G	35362	127599	162961	0.12087
p23_d337	5rF02JK5u78EG_p23_d337	Pseudomonas	3723	G	66272	328152	394424	0.38283
t114_s	8vXrOM33untmG_t114_s	Pseudomonas	3723	G	217608	1025604	1243212	0.67015
t126_d84	zLBjPreFM5fil_t126_d84	Pseudomonas	3723	G	154782	819726	974508	0.71804
t137_d14	KOebqtm4AojhA_t137_d14	Pseudomonas	3723	G	1262	1529	2791	0.00232
t90_d84	i0JdmmLyJAKkd_t90_d84	Pseudomonas	3723	G	2089	1696	3785	0.00301
p43_d113	O2Cmvq9hEUvHG_p43_d113	Pseudomonas	3723	G	4324	945	5269	0.00338
t132_d196	xqi9q2D8ee7R7_t132_d196	Pseudomonas	3723	G	150089	842223	992312	0.89284
t28_d225	7fXJZmPvMrCyg_t28_d225	Pseudomonas	3723	G	9446	31366	40812	0.04586
t136_d308	FkxsrrPybWQcF_t136_d308	Pseudomonas	3723	G	147026	643236	790262	0.79666
t167_s	EThtulkc1eDmx_t167_s	Pseudomonas	3723	G	29571	1892	31463	0.02778
t10_d1	Hrvk3GTjazX2S_t10_d1	Pseudomonas	3723	G	373978	706148	1080126	0.75667
t37_d364	MlUFvQ86Ptzoq_t37_d364	Pseudomonas	3723	G	102	16	118	0.00006
t76_d337	qKLzLHf3iOeKQ_t76_d337	Pseudomonas	3723	G	18293	33694	51987	0.01451
p42_d196	stgggsoaMA0hc_p42_d196	Pseudomonas	3723	G	120016	498628	618644	0.67751
p26_d225	3v3XHW3nPZKEg_p26_d225	Pseudomonas	3723	G	137584	723387	860971	0.90168
p74_d14	2vUXnHa9xR3mf_p74_d14	Pseudomonas	3723	G	90415	258186	348601	0.30024
t76_d14	DmqlvGJaClk6i_t76_d14	Pseudomonas	3723	G	828	405	1233	0.00028
t174_d337	T9T14t8kffxcc_t174_d337	Pseudomonas	3723	G	208390	1000982	1209372	0.85005
p70_d14	ZBSZLAg50ljuv_p70_d14	Pseudomonas	3723	G	92806	510569	603375	0.86376
t36_d196	l36Dg4sLAcIBf_t36_d196	Pseudomonas	3723	G	50846	216638	267484	0.52808
t129_d196	OQNV1SLwfWRA9_t129_d196	Pseudomonas	3723	G	385394	707527	1092921	0.91434
t72_d196	om7oIuAc2Nv9e_t72_d196	Pseudomonas	3723	G	81513	378099	459612	0.44471
t154_d196	RcaUs8Te1rznZ_t154_d196	Pseudomonas	3723	G	114685	527285	641970	0.53744
t46_d14	WaG4Ky72VJU7x_t46_d14	Pseudomonas	3723	G	31	2	33	0.00003
p61_d196	MWAnYWQausZ43_p61_d196	Pseudomonas	3723	G	23005	37911	60916	0.05592
t81_s_A	9HxlBE7aP5aRa_t81_s_A	Pseudomonas	3723	G	1751	1653	3404	0.00177
t115_s	k4bIqqw2Do5YB_t115_s	Pseudomonas	3723	G	34904	141453	176357	0.32637
p13_d14	53HwXPPzyVwqh_p13_d14	Pseudomonas	3723	G	91051	412329	503380	0.47694
p50_d196	wFVZOkm7g6V7R_p50_d196	Pseudomonas	3723	G	75050	403748	478798	0.47218
t33_d84	CAwaM7vCt3RTr_t33_d84	Pseudomonas	3723	G	123238	666949	790187	0.74516
p81_d113	maXjM2bEOGlnH_p81_d113	Pseudomonas	3723	G	87629	432522	520151	0.49503
p14_d337	sfnRBB86ZYVTi_p14_d337	Pseudomonas	3723	G	116572	583822	700394	0.73832
t148_d1	D8LMH3KkyCalY_t148_d1	Pseudomonas	3723	G	130017	319663	449680	0.60051
p22_d225	v5a16bMnmuMEc_p22_d225	Pseudomonas	3723	G	61928	218068	279996	0.32469
p83_d14	G44gvfRQcT6WI_p83_d14	Pseudomonas	3723	G	18162	26094	44256	0.02416
